ID,q4_lat,q4_long,q4_district,q56,Avg_Income,ZONASTAT
"5401",45.09172,7.65908,Torino,"6",3250.5,"47"
"102095",45.09182077,7.659870529,Torino,"6",3250.5,"47"
"106281",45.09351738,7.65939846,Torino,"2",1250.5,"47"
"107041",45.09224493,7.66115799,Torino,"5",2750.5,"47"
"3829",45.09068,7.65985,Torino,"6",3250.5,"47"
"101464",45.09016956,7.659248257,Torino,"5",2750.5,"47"
"101529",45.09100275,7.65939846,Torino,"15",15000,"47"
"101654",45.08992028,7.660045624,Torino,"5",2750.5,"47"
"101943",45.089918,7.659037113,Torino,"2",1250.5,"47"
"101965",45.0915178,7.658926392,Torino,"3",1750.5,"47"
"102035",45.08979083,7.658990765,Torino,"3",1750.5,"47"
"102129",45.09013926,7.659248257,Torino,"4",2250.5,"47"
"102217",45.09006352,7.658926392,Torino,"3",1750.5,"47"
"102332",45.09043155,7.659137964,Torino,"8",4250.5,"47"
"102564",45.08994232,7.659205341,Torino,"4",2250.5,"47"
"102915",45.08982711,7.65915513,Torino,"5",2750.5,"47"
"103121",45.09014684,7.659258986,Torino,"5",2750.5,"47"
"103855",45.09127542,7.662187958,Torino,"15",15000,"47"
"104197",45.09085126,7.66124382,Torino,"5",2750.5,"47"
"104264",45.09115423,7.661501312,Torino,"2",1250.5,"47"
"105018",45.09012411,7.658239746,Torino,"6",3250.5,"47"
"106135",45.09135336,7.660646439,Torino,"9",5500.5,"47"
"106282",45.09006352,7.659291172,Torino,"15",15000,"47"
"106344",45.08984983,7.659273148,Torino,"4",2250.5,"47"
"106370",45.08978545,7.659144402,Torino,"4",2250.5,"47"
"107434",45.09000292,7.657553101,Torino,"3",1750.5,"47"
"107492",45.08984226,7.659240961,Torino,"6",3250.5,"47"
"107502",45.089829,7.659240961,Torino,"6",3250.5,"47"
"107579",45.0898432,7.659330815,Torino,"6",3250.5,"47"
"107650",45.09012411,7.659269714,Torino,"3",1750.5,"47"
"104288",45.08781452,7.657553097,Torino,"7",3750.5,"47"
"5656",45.08957,7.65928,Torino,"6",3250.5,"47"
"103155",45.08957875,7.660042191,Torino,"10",6500.5,"47"
"103591",45.08926819,7.658958578,Torino,"14",12500.5,"47"
"103643",45.08920531,7.658929825,Torino,"4",2250.5,"47"
"104699",45.0895014,7.658768892,Torino,"13",9500.5,"47"
"107476",45.08945755,7.659613037,Torino,"6",3250.5,"47"
"105052",45.0822158,7.627276325,Torino,"8",4250.5,"50"
"105428",45.08424601,7.632147217,Torino,"5",2750.5,"50"
"6822",45.08362,7.63424,Torino,"2",1250.5,"50"
"105032",45.08059301,7.635288835,Torino,"9",5500.5,"50"
"6482",45.08324,7.63829,Torino,"2",1250.5,"50"
"101361",45.07479129,7.621504211,Torino,"7",3750.5,"50"
"3573",45.07467,7.60937,Torino,"2",1250.5,"64"
"5149",45.07443,7.61031,Torino,"7",3750.5,"64"
"103663",45.07958164,7.614555359,Torino,"2",1250.5,"64"
"106706",45.08156619,7.614184463,Torino,"3",1750.5,"64"
"106875",45.08145824,7.610947037,Torino,"6",3250.5,"64"
"107292",45.08173096,7.611333275,Torino,"4",2250.5,"64"
"5542",45.07754,7.61829,Torino,"13",9500.5,"64"
"104309",45.07782182,7.618070984,Torino,"5",2750.5,"64"
"109014",45.07757938,7.618156815,Torino,"3",1750.5,"64"
"6176",45.07741,7.61914,Torino,"4",2250.5,"64"
"6293",45.08155,7.62192,Torino,"2",1250.5,"64"
"108176",45.07448823,7.614723587,Torino,"4",2250.5,"64"
"1662",45.09771,7.62891,Torino,"15",15000,"65"
"4082",45.09829,7.63006,Torino,"3",1750.5,"65"
"5561",45.10063,7.63342,Torino,"15",15000,"65"
"6948",45.10133,7.63548,Torino,"6",3250.5,"65"
"6957",45.10138,7.63432,Torino,"6",3250.5,"65"
"101678",45.09764963,7.628765501,Torino,"7",3750.5,"65"
"106833",45.10998097,7.629636669,Torino,"12",8500.5,"65"
"101957",45.09741788,7.628638887,Torino,"3",1750.5,"65"
"108317",45.10755108,7.644287059,Torino,"3",1750.5,"65"
"4424",45.10595,7.70041,Torino,"2",1250.5,"68"
"4790",45.1049,7.70207,Torino,"6",3250.5,"68"
"106700",45.1046047,7.700039291,Torino,"15",15000,"68"
"4257",45.09864,7.71031,Torino,"5",2750.5,"68"
"5039",45.09971,7.70858,Torino,"6",3250.5,"68"
"3756",45.10415,7.70075,Torino,"15",15000,"68"
"4244",45.10394,7.70167,Torino,"15",15000,"68"
"6881",45.10453,7.70224,Torino,"9",5500.5,"68"
"105568",45.10487193,7.702177763,Torino,"2",1250.5,"68"
"108574",45.10457812,7.702347279,Torino,"15",15000,"68"
"4371",45.09714,7.72244,Torino,"7",3750.5,"68"
"992",45.03954,7.67845,Torino,"4",2250.5,"70"
"1584",45.03822,7.67831,Torino,"14",12500.5,"70"
"106923",45.11478957,7.706844807,Torino,"4",2250.5,"78"
"6118",45.11394,7.70313,Torino,"15",15000,"78"
"4223",45.11076,7.7104,Torino,"15",15000,"78"
"4338",45.11097,7.70976,Torino,"4",2250.5,"78"
"5220",45.10611,7.72063,Torino,"8",4250.5,"78"
"5268",45.10669,7.72323,Torino,"9",5500.5,"78"
"5275",45.10826,7.71453,Torino,"7",3750.5,"78"
"5496",45.11493,7.72036,Torino,"7",3750.5,"78"
"5630",45.11454,7.71845,Torino,"3",1750.5,"78"
"5790",45.10745,7.72265,Torino,"9",5500.5,"78"
"5835",45.10721,7.71687,Torino,"3",1750.5,"78"
"6930",45.11175,7.70879,Torino,"6",3250.5,"78"
"102298",45.11066244,7.710596466,Torino,"3",1750.5,"78"
"105543",45.11332764,7.716947937,Torino,"7",3750.5,"78"
"105606",45.10695881,7.723023891,Torino,"6",3250.5,"78"
"106000",45.10908749,7.728363419,Torino,"4",2250.5,"78"
"107019",45.11629555,7.711197281,Torino,"7",3750.5,"78"
"107213",45.10836276,7.717380524,Torino,"15",15000,"78"
"108249",45.10696729,7.722698593,Torino,"3",1750.5,"78"
"4304",45.12005,7.71858,Torino,"5",2750.5,"78"
"5018",45.1212,7.7138,Torino,"3",1750.5,"78"
"108105",45.12138289,7.713715123,Torino,"15",15000,"78"
"104496",45.11883384,7.733087325,Torino,"15",15000,"78"
"107353",45.12011341,7.731370926,Torino,"8",4250.5,"78"
"5716",45.11824,7.73583,Torino,"4",2250.5,"78"
"101901",45.08316273,7.674590492,Torino,"4",2250.5,"12"
"2640",45.08031,7.68082,Torino,"4",2250.5,"12"
"2647",45.08103,7.68028,Torino,"6",3250.5,"12"
"103196",45.08036734,7.67746582,Torino,"3",1750.5,"12"
"106597",45.08036734,7.680212402,Torino,"4",2250.5,"12"
"107231",45.07857942,7.682014847,Torino,"5",2750.5,"12"
"105127",45.07782969,7.687055469,Torino,"8",4250.5,"12"
"105154",45.07806425,7.68641367,Torino,"9",5500.5,"12"
"105173",45.07801189,7.686449289,Torino,"3",1750.5,"12"
"105264",45.07787559,7.687031329,Torino,"3",1750.5,"12"
"105319",45.07799636,7.6865834,Torino,"4",2250.5,"12"
"107988",45.07783697,7.68728807,Torino,"15",15000,"12"
"105219",45.07676115,7.686864281,Torino,"6",3250.5,"12"
"105521",45.07667023,7.686542416,Torino,"2",1250.5,"12"
"108025",45.07627482,7.685623169,Torino,"15",15000,"12"
"4309",45.08031,7.67464,Torino,"6",3250.5,"12"
"108193",45.08036734,7.674719238,Torino,"5",2750.5,"12"
"4171",45.08478,7.67727,Torino,"2",1250.5,"12"
"5535",45.08417,7.67849,Torino,"15",15000,"12"
"107942",45.07454884,7.692572021,Torino,"5",2750.5,"12"
"6556",45.08018,7.68425,Torino,"15",15000,"12"
"104147",45.08065522,7.683591986,Torino,"15",15000,"12"
"105104",45.07454884,7.69119873,Torino,"6",3250.5,"12"
"105081",45.07937355,7.675859928,Torino,"6",3250.5,"12"
"105575",45.07949477,7.676020861,Torino,"4",2250.5,"12"
