,ID,q3_lat,q3_long,q3_district,q4_lat,q4_long,q4_district,q56,q1_Impo,q6_motcode,Avg_Income
192,1055,45.07896,7.65502,Torino,45.0646,7.6594,Torino,15.0,3,5,15000.0
194,1061,45.19765,7.90432,Chivasso,45.06314,7.66199,Torino,7.0,3,1,3750.5
195,1063,45.00449,8.10899,Montechiaro d'Asti,45.06241,7.66246,Torino,4.0,3,1,2250.5
196,1065,45.12812,7.83415,Gassino Torinese,45.06276,7.6604,Torino,10.0,3,2,6500.5
197,1067,45.06662,7.53896,Rivoli,45.06515,7.65775,Torino,4.0,3,1,2250.5
198,1069,44.33138,7.5514,Boves,45.05969,7.64259,Torino,5.0,3,1,2750.5
199,1076,45.06328,7.64485,Torino,45.0633,7.65993,Torino,15.0,3,11,15000.0
200,1077,44.5493,7.72403,Fossano,45.06246,7.6624,Torino,2.0,3,4,1250.5
201,1078,45.06811,7.69324,Torino,45.06477,7.65874,Torino,7.0,3,5,3750.5
202,1082,45.0475,7.6366,Torino,44.99977,7.84424,Chieri,5.0,3,5,2750.5
203,1086,45.2675,7.76188,Bosconero,45.07158,7.66588,Torino,9.0,3,1,5500.5
204,1108,45.06237,7.68505,Torino,45.06242,7.66222,Torino,15.0,3,5,15000.0
205,1119,45.06256,7.65523,Torino,45.0632,7.66019,Torino,7.0,3,11,3750.5
206,1121,45.05824,7.65575,Torino,45.06631,7.68082,Torino,7.0,4,2,3750.5
207,1122,45.07607,7.64344,Torino,45.06259,7.66255,Torino,5.0,3,1,2750.5
208,1124,45.09097,8.02551,Cocconato,45.06247,7.6622,Torino,4.0,3,5,2250.5
209,1125,45.06617,7.65079,Torino,45.06273,7.66153,Torino,5.0,3,5,2750.5
210,1132,45.44568,8.62633,Novara,45.06413,7.68152,Torino,5.0,3,1,2750.5
211,1131,45.06874,7.66583,Torino,45.03428,7.66738,Torino,4.0,3,5,2250.5
212,1139,45.13943,7.38436,Rubiana,45.06255,7.66201,Torino,9.0,3,1,5500.5
214,1145,45.06719,7.64226,Torino,45.06322,7.65978,Torino,14.0,3,9,12500.5
215,1151,45.19009,7.87976,Chivasso,45.07624,7.67284,Torino,7.0,1,4,3750.5
216,1158,45.06035,7.68466,Torino,45.06248,7.66228,Torino,2.0,3,5,1250.5
218,1161,45.05532,7.67676,Torino,45.05268,7.68273,Torino,5.0,3,1,2750.5
219,1163,45.04079,7.35401,Giaveno,45.05358,7.68585,Torino,7.0,3,1,3750.5
